,"VIGENCIA
FISCAL","RECAUDO POR CRUDO MONETIZADO
$COP","RECAUDO POR GAS
$COP","RECAUDO POR CRUDO EN ESPECIE
$COP","VOLUMEN DE REGALÍAS CRUDO EN ESPECIE
BBL",Periodo,RECAUDO POR CRUDO (ESPECIE Y MONETIZADO) $COP,Total Recaudo Hidrocarburos,Gas %,Petróleo %,Índice,year,recaudo_crudo_monetizado_pc,recaudo_gas_pc,recaudo_crudo_especie_pc,recaud_crudo_em_pc,total_recaudo_hidroc_pc,indice_2024
0,2012,,246838689006.0,7540736740171.0,60563459.32,2012,7540736740171.0,7787575429177.0,0.0316964748850061,0.9683035251149938,78.05,2012,,459670881469.4796,14042600526854.355,112783206.07912754,14042600526854.355,53.69900486559081
1,2013,71388438607.0,644184322341.0,6884161443841.0,49571676.54,2013-2014,6955549882448.0,7599734204789.0,0.0847640595029053,0.9152359404970948,79.56,2013,130418673503.0084,1176852533134.2607,12576591128836.684,90561895.2286914,12707009802339.691,54.737896567666944
2,2014,261938062557.99,665578049772.0,7093603466141.01,45814754.86,2013-2014,7355541528699.0,8021119578471.0,0.082978198150597,0.917021801849403,82.47,2014,461646222459.4237,1173031477092.5283,12501944970460.656,80745075.0283423,12963591192920.08,56.73999911935009
3,2015,139500758808.0,809367786354.0,4324614032004.0,45068708.18,2015-2016,4464114790812.0,5273482577166.0,0.1534788016288391,0.8465211983711608,88.05,2015,230278758553.30084,1336051578838.752,7138790921436.591,74396485.42396475,7369069679989.892,60.57908236278374
4,2016,85686345388.0,854862411813.0,2908685541189.0,42575395.49,2015-2016,2994371886577.0,3849234298390.0,0.2220863542057076,0.7779136457942923,93.11,2016,133758676623.1201,1334463086051.6213,4540535915501.083,66461330.93506743,4674294592124.203,64.06040157636336
5,2017,110923548867.0,636770378990.0,4046323098813.0,40134806.16,2017-2018,4157246647680.0,4794017026670.0,0.1328260570305714,0.8671739429694285,96.92,2017,166347784171.292,954940070461.5695,6068115277628.897,60188626.68075475,6234463061800.189,66.68171110279387
6,2018,234726064965.0,667048010563.0,5606401911388.0,37189975.15,2017-2018,5841127976353.0,6508175986916.0,0.1024938495676867,0.8975061504323132,100.0,2018,341167763096.8085,969535606009.0247,8148748198948.938,54054587.561220795,8489915962045.747,68.80077497192929
7,2019,345764254771.48,789362451725.0,5236356824564.0,35364184.43,2019-2020,5582121079335.48,6371483531060.48,0.1238898990913058,0.8761101009086941,103.8,2019,484160561571.4956,1105314278837.8025,7332271701842.663,49519125.11738049,7816432263414.16,71.41520442086261
8,2020,246206180653.29,914754850859.42,3092880038078.0,31152636.78,2019-2020,3339086218731.29,4253841069590.71,0.2150420845288972,0.7849579154711028,105.48,2020,339262220142.6798,1260495413906.2788,4261864367373.252,42927081.23426257,4601126587515.932,72.57105744039102
9,2021,450821130989.94,1022087279011.0,4957365155519.0,26862460.79,2021-2022,5408186286508.94,6430273565519.94,0.1589492684248428,0.8410507315751572,111.41,2021,588148183199.1832,1333430788617.4275,6467454849046.325,35045179.61526153,7055603032245.509,76.65094339622642
10,2022,1021230452732.17,1197433078412.1,8505971553775.22,26018245.87,2021-2022,9527202006507.39,10724635084919.49,0.1116525708269438,0.8883474291730562,126.03,2022,1177759159401.359,1380969175074.0234,9809721087208.422,30006182.54475969,10987480246609.783,86.70961669712248
11,2023,632741870689.98,1419828007274.0,7441743180584.14,27497742.55,2023-2024,8074485051274.12,9494313058548.12,0.1495451012114742,0.8504548987885256,137.72,2023,667784339439.084,1498460828774.7278,7853881312932.028,29020620.722940456,8521665652371.112,94.75242729134102
12,2024,83914041531.0,583726989141.0,3403390932798.0,14216378.55,2023-2024,3487304974329.0,4071031963470.0,0.1433855087306787,0.8566144912693212,145.3472,2024,83914041531.0,583726989141.0,3403390932798.0,14216378.55,3487304974329.0,100.0
